en	kw
Ancient abbey walls.	Hen fosow abatti.
There were groups with Cornish songs, including Dalla, Grenaways and Bagas Crowd, there were film students trying out some Cornish in the street, and there was a class at the Portbyhan Hotel with over 20 people having a go at speaking Cornish.	Yth esa bagasow gans kanow yn Kernewek, y’ga mysk Dalla, an Grenaways ha Bagas Krowd, yth esa studhyoryon fylm owth assaya blas a Gernewek yn stret, hag yth esa klass yn Ostel Portbyhan gans moy ages 20 den owth assaya kewsel Kernewek. 
You were in Berlin.	Yth esewgh hwi yn Berlin.
We breathe through our noses.	Ni a wra anella der agan dewfrik.
We expect this to become as nationally important as the Northern Powerhouse and the Midlands Engine Room in Government policy.  	Ni a dhesev hemma dhe dhos ha bos mar bosek yn kenedhlek avel an Dredanva Gledh ha’n Stevel Jynn Krestiryow yn polici an Governans.
Equivalent to Garden of [the] word	Lowarth an Ger
We want to eat cake. We want to eat that one with strawberries.	Ni a vynn dybri tesen. Ni a vynn dybri an huni na gans sevi.
In this extract from a badly damaged 1868 letter, Harriet Jane May wrote from Australia to her parents in Padstow: “it would never do for us to be home, your country is not big enough… but still we love to think of home.	Y’n devyn ma dhyworth lyther 1868 hag a veu shyndys yn feur, Harriet Jane May a skrifys dhyworth Ostrali dh’y herens yn Lannwedhenek: “Ny via nevra da ragon dhe vos tre, nyns yw dha vro vras lowr… mes hwath y keryn prederi a’gan tre.
A ticket please.	Tokyn mar pleg.
Bringing children's services together	Dri gonisyow fleghes war-barth
Strawberry jam	Kyfeyth sevi
THE BIG CORNISH SING	AN KENYS KERNEWEK BRAS
Yes. We're students.	On. Studhyoryon on ni.
Yes. You will sell their house.	Gwrewgh. Hwi a wra gwertha aga chi.
Do you want to watch the film?	A vynnowgh hwi mires orth an fylm?
What were you doing in the library?	Pyth esowgh hwi ow kul y’n lyverva?
Spinning Wheels	Rosow ow Troyllya
All three tiers were extremely limited in scope with the stronger of the three deals linked to the imposition of a directly-elected leader or mayor.	Efander an tri nivel o strothys dres eghen gans an kreffa a’n tri bargen kelmys dhe’n konstrinyans a ledyer po mer etholys didro.
They eat chocolate. They are eating chocolate.	I a wra dybri choklet. Yth esons i ow tybri choklet.
to set in order, tidy	kempenna
This event will be at the hotel every Tuesday until 21st February.	Y fydh an hwarvos ma y’n ostel pub dy'Meurth bys dhe’n 21ens mis Hwevrer.
The benefits of inclusion in the inventories are likely to vary for each item and community, but may include greater awareness, recognition, as well as opportunities for greater engagement and collaboration.	An prowyow a gomprehendyans y’n rolyow gwara a wra yn gwirhaval varya rag pub tra ha kemeneth, mes a wra komprehendya martesen warneth vrassa, aswonans, keffrys ha chonsyow rag keskolm ha kesoberans brassa.
I eat ice-cream afterwards before going home.	My a wra dybri dehen rew a-wosa kyns mos tre.
Cornwall's Climate Stories	Hwedhlow Hinek Kernow
Search our documents, photographs and papers (English)	Hwithrewgh agan skrifennow, skeusennow ha paperyow (Sowsnek)
Hi Ravi	Dydh da Ravi
Do you like my work?	Yw da genowgh ow ober?
We have curly red hair and green eyes.	Yma blew rudh krullys ha dewlagas glas dhyn.
Canceled	Dileys
I'm sorry	Drog yw genev
We're really looking forward to meeting your nephew.	Mall meur yw genen metya dha noy.
They eat a banana.	I a wra dybri banana.
any language	py yeth pynag
Yes. We ate the cheese.	Gwrussyn. Ni a wrug dybri an keus.
Communications and Publications	Keskomunyansow ha Dyllansow
Pick up a shield and put on the goggles to defend your general. 	Synsewgh skoos ha gwiskewgh an dhewweder sawder rag defendya agas jeneral.
14th-century deaths	mernansow an 14ves kansbledhen
Text 86677	Tekst 86677
bulb (light)	bollen
If it's not an emergency, you can also report it to the police using 101.	Mar nyns yw goredhom, hwi a yll y dherivas dhe'n kreslu dre dhevnydhya 101.
You are in my thoughts.	Yth esos y'm tybyansow.
I shall not slander you, nor you me.	Ny wrav vy dha sklandra, na ty dhymm.
Join us	Omjunyewgh genen
We are also exploring our collections relating to the Cornish overseas diaspora, particularly in areas such as Australia and Africa, where Cornish migration greatly affected indigenous populations.	Yth eson ynwedh ow hwithra agan kuntellow ow tochya an keskar kernewek tramor, yn arbennek yn ranndiryow kepar hag Ostrali hag Afrika, le may feu poblansow teythyek chanjys yn feur gans divroans kernewek.
Yes. You liked the beach!	O. Da o genowgh an treth!
Miss	Fyllel
My cat is just like a lion.	Ow hath yw kepar ha lew.
The language was kept alive for decades by a small number of dedicated volunteers and families	An yeth a veu gwithys yn fyw dres degvledhynnyow gans myns byghan a vodhogyon ha teyluyow omres.
Expect an eclectic mix of high energy ‘keep you on the move’ music, delivered back-to-back from either end of the beach and around the harbour plus acts on every street corner, and in every bar and restaurant.	Gwaytyewgh kemmysk eklektek a ilow ughel hy nerth a wra agas 'gwitha ow kwaya', delivrys hys dhe hys dhyworth an eyl penn a'n treth dh'y gila hag a-dro dhe'n porth, keffrys ha performyansow orth pub kornel stret hag yn pub barr ha bosti.
Cornwall has always had a strong culture of storytelling; from the land, our language and history, the way we collaborate together, just getting on with it, experimenting, making work, working out how to do things, sometimes in unconventional yet distinct ways.	Yma hirdermyn gonisogeth krev dhe Gernow a dherivas drollys; dhyworth an tir, agan yeth hag istori, an fordh may kesoberyn war-barth, pesya ganso hogen, arbrevi, gul oberi, rekna fatel gowlwul taklow, treweythyow yn fordhow anusadow mes diblans.
I ate sushi, lots of fish and rice.	My a dhybris sushi, meur a bysk ha ris.
Our weapon is our VOICE, come with us, children and young people of the world and stand with us.	Agan arv yw agan LEV, dewgh genen, fleghes ha tus yowynk a’n bys ha sevewgh yn-bann genen.
Dune Rejuvenation – People, Ponies & Plant(s)	Yowynkheans Tewynnow - Tus, Hobbas ha Plans(ow)
Where were we on Sunday?	Ple'th esen ni dy'Sul?
They support work across council services that take advantage of better prospects and higher rewards for jobs in the ever-growing green economy.	I a skoodh ober a-dreus dhe servisyow konsel a wra prow a jonsyow gwell ha pewasow ughella rag sodhow y’n erbysiedh glas, prest ow tevi.
You said that the preacher danced on the table.	Hwi a leveris an pronter dhe dhonsya war an voos.
They read a book by Charles Dickens.	I a wrug redya lyver gans Charles Dickens.
My joints are aching.	Yma ow mellow ow pystiga.
You are Mighal's son and the youngest in your family.	Mab Mighal os ta ha'n yowynkka yn dha deylu.
What do I do in the library?	Pandr'a wrav vy y'n lyverva?
We learn Cornish. We are learning Cornish.	Ni a wra dyski Kernewek. Yth eson ni ow tyski Kernewek.
We drink milk.	Ni a yv leth.
A modal shift from the car first to the person first.	Kowljanj dhyworth an karr yn kynsa dhe'n person yn kynsa.
William Cookworthy (1705-1780) discovered china clay in Cornwall.	William Cookworthy (1705-1780) a dhiskudhas pri gwynn yn Kernow.
No. We're not talking to the cat at all.	Nag eson. Nyns eson ni ow kewsel orth an gath vytholl.
Cornwall e-bike roadshow	diskwedhyans-viajya e-dhiwros Kernow
Because we like elephants.	Drefen bos da genen olifansow.
No. They don't play tennis.	Na wrons. Ny wrons i gwari tennis.
The address must not be empty and must be a valid e-mail address.	Ny dal bos gwag an drigva ha res yw y vos trigva ebost ewn.
factory	gweythva
And we are also here to provide a safety net for those most in need to ensure residents can be supported to live well.	Hag yth eson ni omma ynwedh dhe brovia roos sawder rag an re a's teves an moyha edhom rag surhe may hallo trigoryon bos skoodhys dhe vewa yn ta.
One of the buildings on East Hill includes an iron hoist.	Onan a'n drehevyansow war Vena Est a'n jeves garan a horn.
Created by writer Stan Lee and artist Jack Kirby, she first appeared in The X-Men #4 in the Silver Age of Comic Books.	Gwruthys gans skrifer Stan Lee hag artydh Jack Kirby, hi a omdhiskwedhas yn kynsa yn The X-Men #4 y’n Oos Arghansek a Lyvrow Komik.
Our God is the lamb 	’gan Duw yw an on,
Directed, Written & Produced by	Kevarwodhys, Skrifys & Askorrys gans
Can they make lunch today?	A yllons i pareusi li hedhyw?
Sound Designer	Desiner Son
Safe storage: the magazine	Gwithva salow: an arvji
Do I drink red wine?	A wrav vy eva gwin rudh?
Help me	Gweres vy
Stream house	Chi an Gover
Painful	Tynn
sixth form	Hweghves Gradh
Jam then cream is the only way	Kyfeyth hag ena dehen yw an fordh unnik
They go to school. They have to go to school.	I a wra mos dhe skol. Res yw dhedha mos dhe skol.
sexuality	reydholeth
The officers of Cornwall Council are ‘public servants’ and I thank them all for their tremendous efforts on your behalf over the last 12 months.	Sodhogyon Konsel Kernow yw ‘servysi boblek’ hag y hwon meur ras dhedha a’ga assays kowrek oll a’gas govis hwi dres an diwettha 12 mis.
You're in a relationship, sorry.	Kelmys os ta, drog yw genev.
You like these pasties but the best are made by my mum.	Da yw genowgh an pastiow na mes an gwella yw gwrys gans ow mamm.
I dance with light feet.	My a wra donsya gans dewdros skav.
Beware the gentle warning	Bedhewgh war a'n gwarnyans jentyl
The Epworth Centre	Kresen Epworth
Are we speaking to that cat?	Eson ni ow kewsel orth an gath na?
Heritage Kernow Forum	Dalva Ertach Kernow
You teach Russian.	Ty a dhysk Russek.
The rights of those identified as the authors of this work has been asserted by them in accordance with the Copyright Designs and Patents Act of 1998.	Gwiryow an re na aswonys avel awtours a'n ober ma re beu deklerys gansa herwydh an Akt Gwirbryntyans, Desinyow ha Patentys 1998.
Official status of the Cornish Language	Savla sodhogel an Yeth Kernewek
Sign up for occasional news, offers and other good stuff about our books!	Sinewgh rag nowodhow treweythus, profyansow ha stoff aral da a-dro dh'agan lyvrow!
Is that your hat?	Yw henna dha hatt?
Crew lists and documents for almost 1700 individual vessels, and 47 volumes of shipping registers all provide a wealth of information useful for understanding the scale of Cornwall’s connections to the sea.	Rolyow mayni ha skrivennow rag ogas ha 1700 a lestri unnik, ha 47 kevrol a kovskrivennow gorholyon a brovi meur a gedhlow yw dhe les rag konvedhes skeul a gevrennow Kernow dhe'n mor.
Blossom	Bleujen
Yes. We have a phone.	Eus. Yma klapkodh dhyn.
On the day	Y'n jydh
honesty	onester
Richard Scoble migrated to Nevada in 1874 in search of mining work.	Richard Scoble a dhivroas dhe Nevada yn 1874 rag hwilas ober balweyth.
What is built into the wall to the right of the gates to North Hill House?	Pyth yw drehevys y'n fos dhe dhyghow an yetow dhe Ji Bre North?
Print Receipt	Pryntya Akwytyans
I'm sorry but I am out of town.	Drog yw genev mes yth esov vy dhe-ves.
Yes. You liked Paris.	O. Da o genes Paris.
Government bodies, quangos and agencies which develop key strategies and policies are located outside of Cornwall and are not accountable to the people of Cornwall.	Korfow governans, kwangos ha maynoriethow a wra displegya stratejiow ha policis yw desedhys mes a Gernow ha nyns yns akontadow dhe’n bobel a Gernow.
You fail the task if your duck inside the castle is hit or falls over. 	Hwi a fyll an oberen mars yw agas hos a-ji dhe’n kastel gweskys po ev dhe godha a-denewen.
Yes. We were playing really well, we believe.	Esen. Yth esen ni ow kwari fest yn ta, dell grysav.
The Eucryphia produces beautiful white flowers in the late summer and autumn.	An Eucryphia a askorr bleujyow gwynn teg yn hav diwedhes ha kynnyav.
Where can I find an ATM?	Ple hallav vy kavos toll y'n fos?
Link to album here	Ottomma kevren dhe'n albom
a backache	drog keyn
1960s	An bledhynnyow mil naw kans ha tri ugens
Yes. They are somewhere in the garden.	Esons. Yth esons i neb le y'n lowarth.
We cycle.	Ni a wra diwrosa.
Keep track of the points on this scorecard. 	Kevrivewgh an poyntow war an garten skor ma.
When will they be back in Camborne?	P'eur fedhons i arta yn Kammbronn?
You are not a drop in the ocean, you are the entire ocean in a drop.	Nyns os dager y'n keynvor, ty yw an keynvor dien yn dager.
Did we eat nuts?	A wrussyn ni dybri know?
They like history. They happily read books about Rome.	Da yw gansa istori. I a red lyvrow a-dro dhe Rom yn lowen.
Theatre	Gwariva
it's windy	gwynsek yw hi
No! You do not drink coffee with milk.	Na wredh! Ny wre'ta eva koffi gans leth.
Many sectors felt underrepresented including: literature, music, libraries, dance, museums, historic environment, sport.	Lies ranngylgh a omglewas aga bos isomdhiskwedhys, y’ga mysk: lien, ilow, lyvervaow, dons, gwithtiow, kerghynnedh istorek, sport.
Rachel Wigglesworth 	Rachel Wigglesworth
Yes. We have a copy here.	Eus, yma dasskrif genen omma.
Were you a writer?	Es ta skrifer?
Inspiring Women	Benenes a Awen
From the start the aim was for the Plan to be led by the community, with support from St Ives town council. 	A’n dalleth yth o an amkan bos an Towl ledys gans an gemeneth, gans skoodhyans dhyworth Konsel an Dre Porth Ia.
Invent and perform the most over-the-top greeting for Henry VIII as he arrives at the castle. 	Devisyewgh ha performya an dynnargh an moyha payonus rag Henry VIII dell dhrehedh ev dhe’n kastel.
Did you surf?	A wrussowgh hwi mordardha?
I am single	Dibries ov.
The National Assembly of Wales gained limited law-making powers through the Government of Wales Act 2006, which were greatly extended in 2011 following a second referendum.	Kuntelles Kenedhlek Kembra a waynyas gallosow strothys a wul laghys der an Reyth Governans a Gembra 2006, hag a veu ystynnys yn feur yn 2011 wosa nessa referendom.
It starts from the village of Rhyd Ddu.	Dalleth a wra dhyworth gwig Rhyd Ddu.
Have you sinned?	A wruss'ta pegha?
Look	Otta
I’ll be back the day after tomorrow.	My a vydh omma arta trenja.
down	hal
Fresh beginnings with the rising of the sun and the rising of each tide.	Dallethow nowydh gans drehevel an howl ha sevel a bub mortid.
The Market house is another of St. Austell’s impressive buildings, built in an Italian Renaissance style.	Chi an Varghas yw onan aral a dhrehevyansow brasoberys S. Austel, gwrys yn gis Dasdinythyans Italek.
We catch a glimpse,	Ni a wel rag tecken,
However, like the rest of the UK we know that nature in Cornwall and Scilly is in decline.	Byttegyns, kepar ha remenant an RU, ni a wor bos natur yn Kernow ha Syllan ow tifygya.
Will we go to Falmouth?	A wren ni mos dhe Aberfala?
I wish to stay the following nights (click all applicable):	My a garsa triga an nosow a sew (klyckyewgh peub a dhesedh):
Framework Convention for the Protection of National Minorities	Akordyans Framweyth rag Difresyans a Vinorytys Kenedhlek
No, they just grabbed my bag and ran away.	Nag ov, ny wrussons marnas kibya ow thigen ha ponya dhe-ves.
This certificate is granted in recognition of the support the bearer has shown in the historic relocation of the Cornish Pirates Rugby Football Club to the Stadium for Cornwall.	An testskrif ma yw grontys yn aswonvos an skoodhyans diskwedhys gans an deger yn dastesedhans istorek Klub Pel Droos Rugbi an Vorladron Gernewek dhe Sportva Kernow.
This Leisure Activity Framework has been developed alongside the Built Facility and Playing Pitch Strategies that will support a clear direction and a prioritisation plan. 	An Framweyth Aktivita Termyn Syger ma re beu displegys ryb tenewen an Stratejiow Komodytys Drehevys ha Park-Gwari hag a wra skoodhya tu kler ha towl ragwirheans.
Welcome to Heligan this August	Helygen a’gas dynnergh an mis Est ma
Your birthdays are important ones this year.	Agas penn-bloodh yw onan posek an vledhen ma.
Their birthday is an important one this year.	Aga fenn-bloodh yw onan posek an vledhen ma.
What did Middle Blowing House produce?	Pyth a wrug Fog Kres askorra?
How can you find the church?	Fatel yllydh ta kavos an eglos?
The Office for National Statistics (ONS) carries out the census in England and Wales.	Sodhva Statistygon Kenedhlek (SSK) a wra an niveryans yn Pow Sows ha Kembra.
At the 3rd ministerial meeting in Cardiff on 24th October 2014, Ministers agreed the forward work programme for 2015-16 should focus on:	Orth an 3a kuntellyans menystrek yn Kerdydh an 24ns mis Hedra 2014, menystroryon a akordyas y kodh dhe’n dowlen ober devedhek rag 2015-16 fogella war:
Did they learn German?	A wrussons i dyski Almaynek?
Shop, Exhibition and Toilets	Gwerthji, Diskwedhyans ha Privedhyow
Clydeside University 	Pennskol Glann Clayd
Unknown	Ankoth
North Kerrier East	Keryer North Ranndir Est
But whilst economic fortunes change, leaving challenges in their wake, some things remain constant.	Mes kyn chanj fortunyow erbysek, ow kasa chalenjys a-dhelergh dhedha, nebes traow a worta sad.
You're near the wall.	Yth esos ta ogas dhe'n fos.
They walk there. It's not far.	I a gerdh ena. Nyns yw pell.
A submission to the inventories should include information about the associated elements of the item where relevant, but the item of living heritage can not only be the associated tools, instruments, costumes, materials etc.	Y tal submyttyans dhe’n rolyow gwara komprehendya kedhlow a-dro dhe’n elvennow kelmys a’n dra mars yw a vri, mes ny yll an dra a ertach bew bos marnas an toulys dhodho, maynys, gwiskow, stoffow h.e.
You are my darling	Ow heresik os
Welcome to the adventure of a lifetime 	Dynnargh dhe'n aventur bewweyth
The UK government has recognised Kernewek as a minority language, having met the criteria to achieve Part II of the European Charter for Regional or Minority Languages.	Governans an RU re aswonis Kernewek avel yeth vinoryta, wosa kollenwel an breusverkyow dhe gowlwul Rann II a'n Chartour Europek rag Yethow Ranndiryel po Minoryta.
You can play guitar. Play songs!	Ty a yll seni gitar. Gwra seni kanow!
Enterprising sectors will enjoy a growing business community with an entrepreneurial spirit which is pushing hard to drive a productive and sustainable year round economy.	Ranngylghyow negysyethel a wra kemeres plesour a gemeneth negys usi ow tevi gans spyrys aventurus hag usi ow herdhya yn kales dhe lewya erbysieth an vledhen oll askorrus ha sostenadow.
It’s beneficial for the economy and for creativity	Yth yw lesel rag an erbysieth hag awenekter
No. They can't make lunch for ten people.	Na yllons. Ny yllons i pareusi li rag deg den.
Were we doctors?	En ni medhogyon?
Will they walk on the beach?	A wrons i kerdhes war an treth?
We also continue to work closely with key partners, the CIOS Local Enterprise Partnership and the Employment and Skills Board, to help support the Cornish economy by preparing young people for their next stage of education, apprenticeships and the world of work.	Ynwedh ni a bes kesoberi yn ogas gans keskowetha alhwedhel, Keskowethyans Aventur Leel K&S ha’n Gesva Sleynethow hag Arveth, dhe weres skoodhya an erbysieth kernewek dre bareusi tus yowynk rag aga nessa nivel a adhyskans, kynsernethow ha’n bys a ober.
They drink cider.	I a wra eva cider.
General waste	Skoll kemmyn
A weapon to help us deal with violence	Arv dhe ri dhyn gweres dhe ardhyghtya garowder
You have seen a road accident.	Ty re welas droglam fordh.
The COVID-19 pandemic has served to exacerbate these issues but also act as a catalyst for sustainable renewal and recovery.	An pandemik COVID-19 re wethhas an maters ma mes ev yw keffrys katalydh rag nowedhyans ha yaghheans sostenadow.
Natural Climate Solutions	Remedis Hin Naturel
A full Inquiry into the Duchy of Cornwall and Cornwall’s ambiguous constitutional relationship with the Crown, and the contradictions between this constitutional status and present administrative arrangements.	Hwithrans leun a Dhuketh Kernow hag a'n kowethyans korf-laghel amstyrus yntra Kernow ha'n Gurun, hag a'n kontradiansow ynter an studh korf-laghel ma ha'n restri menystrek a-lemmyn.
Did you run fast?	A wruss'ta ponya yn uskis?
Funding for Wildlife-Friendly Farming 	Arghasans rag Ammeth yw Kowethek dhe’n Bewnans Gwyls
They can do it if they come.	I a yll y wul mar kwrons i dos.
You were swimming.	Yth eses ta ow neuvya.
The scheme was carried out and many of Repton’s features survive today.	An dowlen a veu kowlwrys hag yma lies a’n traow gwrys gans Repton ena hwath hedhyw.
You drink coffee.	Ty a yv koffi.
To vocalise	Gorra yn geryow
The best way for us to gain respect is to be respectful of our residents and communities, and to deliver what we do in the best and most positive way.	An gwella fordh dredhi may hyllyn ni gwaynya reowta yw dhe dhiskwedhes reowta dh'agan trigoryon ha kemenethow, ha dhe dhelivra an pyth a wren ni y'n fordh wella ha posedhekka.
You worked for three years as a nurse.	Ty a oberas dre deyr bledhen avel klavjier.
Yes. I want to work all of the time.	Mynnav. Y fynnav vy oberi oll an termyn.
They have got a cat.	Yma kath dhedha.
Yes. They are running.	Esons. Yth esons i ow ponya.
Fuel your visit to the museum with coffee and cake or lovely lunches.	Methyewgh dha wodrik dhe’n gwithti gans koffi ha tesen po livyow teg.
In 1602 Richard Carew wrote: “The Guary miracle, in English, a miracle-play, is…compiled in Cornish out of some scripture history, with that grossness…they raise an earthen Amphitheatre, in some open field…The Country people flock from all sides…to heare & see it: for they have therein, devils and devices, to delight as well the eye as the eare.”	Yn 1602 y skrifas Richard Carew: “An gwari merkyl, yn Sowsnek ‘a miracle play’ yw... kevernys yn Kernewek a neb istori a’n skriptor, gans an garowder na... i a dhrehav gwariji a dhor yn neb park ygor... A bub tu y stev tus an pow... rag y glewes ha’y weles: awos bos ynna dyowlow ha devisyow rag didhana ha’n lagas ha’n skovarn.”
This document highlights the problems facing air quality in Cornwall and sets out a Path to Success to ensure that no person in Cornwall breaths unclean air in the future.	An skriven ma a wolowboynt an kudynnow ow tochya kwalita ayr yn Kernow ha displetya Fordh dhe Sewena rag surhe ma nag anello den vyth yn Kernow ayr avlan y’n termyn a dheu.
Their joints are aching.	Yma aga mellow ow pystiga.
Custodians of Cornwall’s environment	 Gwithysi kerghynnedh Kernow
Kresen Kernow holds records relating to various hospitals, such as Royal Cornwall Infirmary, and West Cornwall Hospital for Convalescent Miners.	Kresen Kernow a syns kovadhow ow tochya klavjiow divers, rag ensampel Medhegva Riel Kernow ha Klavji Kernow West rag Tus Val yn Omwellans.
Costume Store	Gwithva Wiskasow
It is timely, then, to propose the formation of a Cornish Public Service Media (PSM) - an engaging new model, harnessing technological developments with regenerative, social and environmental principles at its core.	A-brys yw, ytho, dhe brofya selyans a Vedia Gonis Poblek (MGP) Kernewek – patron tennvosek nowydh, ow hernessya displegyansow teknegiethel gans pennrewlow dastinythyel, socyal ha kerghynedhel orth y golonnen.
The festival pops up from nowhere to transform the beach and the streets, giving locals & visitors from all over the world a chance to mingle and enjoy the show.	An gool a omdhiskwa tromm dhyworth le vyth rag treusfurvya an treth ha'n stretow, ow ri dhe deythyogyon & vysytyoryon dhyworth pub sorn an bys chons dhe omvyska hag enjoya an diskwedhyans. 
The building was originally St Austell Public Rooms.	An drehevyans o Stevellow Poblek Sen Austel y'n dalleth.
We are now aiming to start the app testing in August and to launch the app officially in September.	Yth eson ow medra lemmyn dalleth previ an app mis Est ha'y lonchya yn sodhogel mis Gwynngala.
Did they learn Cornish?	A wrussons i dyski Kernewek?
Census Day is Sunday 21 March	Dydh an Niveryans yw Dy'Sul 21 mis Meurth
Flooding	Livans
Main Entrance.	Pennentrans.
The winners of each category will receive a National Lottery Awards trophy and a £5,000 prize, to be spent on their project.	An waynyoryon yn pub rann a wra degemeres trofi Pewasow an Gwari Dall Kenedhlek ha gwerison a £5,000 dhe vos spenys a-barth aga ragdres.
You are fantastic.	Splann owgh hwi.
We must now all continue to be the change we want, as we design and deliver development for a more sustainable and resilient Cornwall for we can all live and thrive.	Lemmyn res yw dhyn oll pesya bos an chanj a vynnyn, ha ni ow tesinya ha delivra displegyans rag Kernow moy sostenadow ha hebleth le may hyllyn oll bewa ha seweni.
They are looking to rent a two-bedroom flat near the city centre.	Yma hwans dhedha a wobrena rannji gans dew jambour ogas dhe gres an cita.
I can swim. Swim to the rocks!	My a yll neuvya. Gwra neuvya dhe'n karregi.
Defibs & Safespaces	Jynnys-Difibrilla & Leow Salow
You said that the programme should not be about the Council running a branded culture programme.	Hwi a leveris na godh bos an dowlen a-dro dhe’n Konsel ow tyghtya towlen wonisogeth verkys.
A ‘disappearing’ gun	Gonn ‘a dhisapper’
They are playing football.	Yth esons i ow kwari pel droos.
We can't wait!	Ny yllyn ni gortos!
I’ll pass on the message	My a wra ri dhodho/dhedhi an messach.
No. You are not happy, you're sad.	Nag os. Nyns os ta lowen, trist os ta.
You like to speak the Cornish language. You like learning languages.	Da yw genes kewsel an yeth Kernewek. Da yw genes dyski yethow.
What do they do in the library?	Pandr'a wrons i y'n lyverva?
Music Hub Cornwall	Both Ilow Kernow
I love music but I can't really sing.	My a gar ilow mes ny allav vy kana yn ta.
To see more manorial maps, visit our ‘Magnificent Maps’ online exhibition.	Rag gweles mappys manerek erel, vysytyewgh agan diskwedhyans warlinen ‘Mappys Brasoberys.’
Am I playing rugby?	Esov vy ow kwari rugbi?
No. You haven't worked in a cinema.	Na wrussys. Ny wruss'ta oberi yn cinema.
People, Place, Community	Pobel, Tyller, Kemeneth
For more information visit lowenderperan.co.uk and follow us on social media.	Rag pella kedhlow vysytyewgh lowenderperan.co.uk keffrys ha'gan sewya war vedya socyal.
Our What is History? loans pack encourages students to examine and analyse original sources.	Agan fardel-lendya Pyth yw Istori? a generth studhyoryon dhe hwithra ha dielvenna fentynnyow derowel.
Am I in Penzance as well?	Esov vy yn Pennsans ynwedh?
No. You haven't learnt Italian.	Na wrussowgh. Ny wrussowgh hwi dyski Italek.
You like to speak the Cornish language. You like learning languages.	Da yw genowgh kewsel an yeth Kernewek. Da yw genowgh dyski yethow.
maritime	morek
Your e-mail	Agas ebost
Can I buy a pasty?	A allav vy prena pasti?
I look forward to seeing what else the Youth Council can achieve.	My a vir yn-rag dhe weles an pyth aral a yll an Konsel Yowynkneth kollenwel.
Community groups provide vital social opportunities for incidental, through to immersive use of Cornish, which is integral to public normalisation of the language.	Bagasow kemeneth a brov chonsyow socyal essensek rag usyow a Gernewek treweythus bys yn troghyansek, hag yw essensek rag normalheans poblek a'n yeth.
You'll have an apple juice.	Ty a wra kavos sugen aval.
time never waits	ny wort nevra termyn
You'll check it straight away.	Hwi a wra y jeckya distowgh.
We are grateful to the following individuals and organisations for their help and support in preparing and delivering this very special exhibition.	Godhon meur ras dhe'n dus ha'n kowethasow a sew a'ga gweres ha skoodhyans dre bareusi ha delivra an diskwedhyans pur arbennik ma.
Truly something for everyone - dig in, enjoy the shows, we can’t wait to welcome you in soon.	Neppyth rag pubonan yn tevri – omrewgh, enjoyewgh an diskwedhyansow, mall yw genen agas dynerghi a-ji yn skon.
Insects on the menu	Hwesker war an rol voos
Breton	Bretonek
Telegrams and Letters home 	Pellskrifennow ha Lytherow dhe-dre
No. I didn’t like going by bus.	Nag o. Nyns o da genev mos yn kyttrin.
Casting Assistant	Darbarer Parsella
{ $uploadedSentences } of { $totalSentences } sentences collected	{ $uploadedSentences } mes a { $totalSentences } lavar kuntellys
No. They didn’t sing there.	Na wrussons. Ny wrussons i kana ena.
The elaborate mural wallpaper was created by the French designer Joseph Dufour.	An paper-fos afinus a veu gwrys gans an desiner frynkek Joseph Dufour.
Feeding the garrison	Maga an garnisyon
Treslothan Ward	Ranndra Tresulwedhen
I am in the café.	Yth esov vy y’n koffiji.
No. I didn't walk far.	Na wrug. Ny wrug vy kerdhes pell.
Cornwall suffers higher than average in terms of fuel poverty and the Council has a responsibility to tackle this as well as rising energy prices.	Kernow a wodhev boghosogneth geunys moy ages an kresek hag yma omgemeryans dhe’n Konsel dhe dhyghtya hemma keffrys ha prisyow nerth a yskyn.
Humphry Repton produced his red books to show improvements to houses and gardens of wealthy landowners.	Humphrey Repton a wrug y lyvrow rudh dhe dhiskwedhes gwellheansow dhe jiow ha lowarthyow perghenogyon wolusek.
In the school holidays, the Clay for Kids sessions make the Space a hive of activity.	Yn dy'golyow skol, an esedhogow Pri rag Fleghes a dreyl an Spas yn tyller bysi fest.
Do we run fast?	A wren ni ponya yn uskis?
It is a challenging yet exciting time to be living in Cornwall, and I am optimistic about the contribution and leadership that we can offer in tackling the global challenges we face.	Termyn a jalenj yw dhe vos trigys yn Kernow, mes yntanus maga ta, ha posedhek ov a-dro dhe’n kevro ha dhe’n hembrenkieth hag a yllyn ni aga frofya yn omgemeres an chalenjys ollvysel a-dheragon.
The Creation of the World	Gwrians an Bys
Looe	Logh Est
But in pursuing those aims we are able to draw from a seemingly endless wellspring of enthusiasm, partnership and creativity.	Mes ha ni owth helghya an amkanow na, ni a yll kemeres dhyworth fenten a wres, keskowethyans hag awenekter.
Anyone is welcome to visit and explore these amazing collections when the centre opens to the public in summer 2019.	Pubonan yw wolkom dhe vysytya ha diskudha an kuntellow marthys ma pan wra an gresen ygeri dhe’n poblek yn hav 2019.
Subcategories in blue are medium	Isklassow yn glas yw kresek
This type of land was owned by the lord of the manor and leased out to tenants, much like modern day renting.	An eghen a dir ma o perghennys gans arlodh an maner ha gobrenys dhe dhelghysi, kepar dell yw gobrena y’n jydh hedhyw.
Our Core sectors are the heartbeat of the existing economy and part of how the rest of the world sees us. 	Yma agan ranngylghyow Kresel orth kolon an erbysiedh a-lemmyn ha rann yns a’n fordh mayth on ni gwelys gans an bys.
